,Don't edit. Formula inside.,Don't edit. Formula inside.,Paste by PM,Paste by PM,Paste by PMKT,,Paste by PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Source,Model Name,Marketing Name ,Tagline,KSP,Link,,Part No <-- Raw data paste from here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90NX07K1-M00050,BG1408CVA-EB7150X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Dual USB-C (PD/DP) with RJ-45, HDMI, USB-A—one cable powers and displays
- Tool-less access to an open SO-DIMM and M.2 slot enables rapid RAM or SSD upgrades
- 3-year warranty plus MIL-STD-810H toughness ensure built-in long-term reliability",https://drive.google.com/drive/folders/19BWzD60diPJdw9tDwM4rLliwt4sTsrit?usp=drive_link,,90NX07K1-M00050,BG1408CVA-EB7150X,VSNX07K1-BU1000,"Intel® Core™ i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",DDR4 16GB ( 16GB DDR4 on board ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Plastic
Top Case: Star Black, Plastic","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)","Backpack
Carry bag
USB-C to USB-C cable",14.0,LED Back-lit-Narrow border,250nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.469 Kg,1.305,"32.69 x 21.45 x 1.99 ~ 1.99 cm (12.87"" x 8.44"" x 0.78"" ~ 0.78"")","42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,N/A,Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold
Energy star 8.0
FSC Mix
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX07D1-M00JY0,B3404CVA-Q55850X,ASUS ExpertBook B3,Configured to advance your business with AI,"- Full I/O with All-Day Battery: Thunderbolt 4, HDMI, RJ-45 + 13 hrs use and 50% fast charge in 39 mins
- Easy upgrades: supports up to 32GB RAM via 2 SO-DIMM slots and 1TB SSD via M.2 slot
- Worry-free durability: passes 23 military-grade tests and comes with a 3-year warranty",https://drive.google.com/drive/folders/1jiNVmb6WDeFaQhAFLuFh336LY6LZS3wc?usp=drive_link,,90NX07D1-M00JY0,B3404CVA-Q55850X,VSNX07D1-BU2131,"Intel® Core™ i5-1335U Processor 1.3GHz (12M Cache, up to 4.6GHz, 10 cores)",DDR5 8GB ( 8GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Aluminum
Top Case: Star Black, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 4.0x4","Front: 1080p FHD camera with IR function to support Windows Hello
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"1x USB 3.2 Gen 2 Type-C support power delivery
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Kensington Nano Security Slot™(6x 2.5mm)",,14.0,LED Back-lit-Narrow border,300nits,WUXGA(WU) 1920X1200 16:10,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y ON-SITE(ADP)+2Y ON-SITE",1.542 Kg,1.315,"31.37 x 22.68 x 1.99 ~ 1.99 cm (12.35"" x 8.93"" x 0.78"" ~ 0.78"")","63WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_30D,Backlit Chiclet Keyboard,W/FINGERPRINT,"TCO Certified
EPEAT Gold
Energy star 8.0
FSC Recycled
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX09C1-M00390,PM1403CDA-S60091WS,ASUS ExpertBook P1,Trusted by IT Experts. Built for Worry-Free Business.,"- Comprehensive I/O built in — including a full-function USB-C for charging and display
- Upgradable via 2 DDR5 SO-DIMM slots and 2 M.2 slots for memory and storage expansion
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",,,90NX09C1-M00390,PM1403CDA-S60091WS,VSNX09C1-BU1020,"AMD Ryzen™ 7 7735HS Processor 3.2GHz (16MB Cache, up to 4.75 GHz, 8 cores, 16 Threads)",DDR5 16GB ( 16GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,AMD Radeon™ Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Plastic
Top Case: Misty Grey, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","-
BIOS Booting User Password Protection
BIOS Integrity Measurement Support
BIOS Self Recovery
BIOS setup user password
CSME BIOS Redundancy Assistance
Enhanced Password Strength
HDD User Password Protection and Security
Microsoft Security Level 2
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.397 Kg,1.205,"32.45 x 21.44 x 1.97 ~ 1.97 cm (12.78"" x 8.44"" x 0.78"" ~ 0.78"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX07K1-M00060,BG1408CVA-EB7110W,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Dual USB-C (PD/DP) with RJ-45, HDMI, USB-A—one cable powers and displays
- Tool-less access to an open SO-DIMM and M.2 slot enables rapid RAM or SSD upgrades
- 3-year warranty plus MIL-STD-810H toughness ensure built-in long-term reliability",https://drive.google.com/drive/folders/11Zf2hbvFHukeyDcukdbzKbgO-s7nCEBG?usp=drive_link,,90NX07K1-M00060,BG1408CVA-EB7110W,VSNX07K1-BU1000,"Intel® Core™ i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",DDR4 16GB ( 16GB DDR4 on board ),1TB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Plastic
Top Case: Star Black, Plastic","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)","Backpack
Carry bag
USB-C to USB-C cable",14.0,LED Back-lit-Narrow border,250nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.469 Kg,1.305,"32.69 x 21.45 x 1.99 ~ 1.99 cm (12.87"" x 8.44"" x 0.78"" ~ 0.78"")","42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,N/A,Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold
Energy star 8.0
FSC Mix
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX07K1-M00090,BG1408CVA-EB5150W,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Dual USB-C (PD/DP) with RJ-45, HDMI, USB-A—one cable powers and displays
- Tool-less access to an open SO-DIMM and M.2 slot enables rapid RAM or SSD upgrades
- 3-year warranty plus MIL-STD-810H toughness ensure built-in long-term reliability",https://drive.google.com/drive/folders/1_0HrpmCZUUALDLi6aA2zSQawprB5br1K?usp=drive_link,,90NX07K1-M00090,BG1408CVA-EB5150W,VSNX07K1-BU1000,"Intel® Core™ i5-1335U Processor 1.3GHz (12M Cache, up to 4.6GHz, 10 cores)",DDR4 16GB ( 16GB DDR4 on board ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Star Black, Plastic
Top Case: Star Black, Plastic","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)","Backpack
Carry bag
USB-C to USB-C cable",14.0,LED Back-lit-Narrow border,250nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.469 Kg,1.305,"32.69 x 21.45 x 1.99 ~ 1.99 cm (12.87"" x 8.44"" x 0.78"" ~ 0.78"")","42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,N/A,Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold
Energy star 8.0
FSC Mix
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX0811-M00XA0,B1403CVA-S63850X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,"- Full-Function USB-C — power and display through one port, alongside HDMI, RJ-45, and USB-A
- Easy upgrades: 2 SO-DIMM up to 64 GB and PCIe 4.0 M.2 up to 1 TB
- Worry-free durability: passes 24 Military-Grade tests and comes with a 3-year warranty",https://drive.google.com/drive/folders/1j7gCGh0OvjnQoyrJr-Q7CSJq-Kuw23bm?usp=drive_link,,90NX0811-M00XA0,B1403CVA-S63850X,VSNX0811-BUF004,"Intel® Core™ i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",DDR5 8GB ( 8GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Pro
1-month trial for new Microsoft 365 customers. Credit card required.",M365 FREE TRIAL 30D(WW),"LCD Cover: Gentle Grey, Plastic
Top Case: Gentle Grey, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 1080p FHD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y ON-SITE(ADP)+2Y ON-SITE",1.407 Kg,1.215,"32.45 x 21.44 x 1.97 ~ 1.97 cm (12.78"" x 8.44"" x 0.78"" ~ 0.78"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_30D,Backlit Chiclet Keyboard,W/FINGERPRINT,"Energy star 8.0
FSC Mix
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX0871-M00MB0,P1403CVA-S67151WS,ASUS ExpertBook P1,Trusted by IT Experts. Built for Worry-Free Business.,"- Comprehensive I/O built in — including a full-function USB-C for charging and display
- Upgradable via 2 DDR5 SO-DIMM slots and 2 M.2 slots for memory and storage expansion
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/1faZDvv_Td0lCk1nZu6tw7TgFN_H8XVRr?usp=drive_link,,90NX0871-M00MB0,P1403CVA-S67151WS,VSNX0871-BUC040,"Intel® Core™ i7-13620H Processor 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads)",DDR5 16GB ( 16GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Plastic
Top Case: Misty Grey, Plastic","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 720p HD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Built-in speaker
Built-in array microphone",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS setup user password
HDD User Password Protection and Security
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor intergrated with Touchpad
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,FHD 1920X1080 16:9,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.447 Kg,1.255,"32.45 x 21.44 x 1.97 ~ 1.97 cm (12.78"" x 8.44"" x 0.78"" ~ 0.78"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
90NX08E1-M00DK0,P3405CVA-LY5150WS,ASUS ExpertBook P3,"Productivity, leveled up","- Revolutionary 16:10 immersive display with more usable space and ultra-slim bezels
- Dual SO-DIMM and dual SSD design for easy upgrades and long-term flexibility
- Worry-free durability with a 3-year international warranty and tested military-grade toughness",https://drive.google.com/drive/folders/10oCnkBVZkLE4XuMyRtXKoDN0hOR5qpEJ?usp=drive_link,,90NX08E1-M00DK0,P3405CVA-LY5150WS,VSNX08E1-BU101B,"Intel® Core™ i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads)",DDR5 16GB ( 16GB DDR5 SO-DIMM ),512GB 2280 PCIE G4 SSD,Intel® UHD Graphics,"Windows 11 Home - ASUS recommends Windows 11 Pro for business
Microsoft Office Home 2024
Microsoft 365 Basic",OFFICE HOME2024(ID)+M365 BASIC,"LCD Cover: Misty Grey, Aluminum
Top Case: Misty Grey, Aluminum","2x DDR5 SO-DIMM slots
1x M.2 2230 PCIe 4.0x4
1x M.2 2280 PCIe 4.0x4","Front: 1080p FHD camera
Rear: -
With privacy shutter
World-Facing: -","Audio by Dirac
Smart Amp Technology
Built-in speaker
Built-in array microphone",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet","FingerPrint
BIOS Booting User Password Protection
BIOS Integrity Measurement Support
BIOS Protection Support
BIOS Self Recovery
BIOS setup user password
CSME BIOS Redundancy Assistance
Enhanced Password Strength
HDD User Password Protection and Security
Intel CSME Firmware Resilience
Intel® BIOS Guard
Intel® Boot Guard
Microsoft Secured-core PC
Microsoft Security Level 2
Support Absolute Persistence 2.0 (Computrace)
Trusted Platform Module (TPM) 2.0
Fingerprint sensor integrated with Power Key
Kensington Nano Security Slot™(6x 2.5mm)",Backpack,14.0,LED Back-lit-Narrow border,300nits,WUXGA(WU) 1920X1200 16:10,Anti-Glare,NTSC:45%,non-Touch,Wide View,"ID,1Y CARRY-IN(ADP)+2Y CARRY-IN",1.422 Kg,1.23,"31.51 x 22.68 x 1.79 ~ 1.80 cm (12.41"" x 8.93"" x 0.70"" ~ 0.71"")","50WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,MCAFEE_1Y (S1),Backlit Chiclet Keyboard,W/FINGERPRINT,"EPEAT Gold with Climate+
Energy star 8.0
FSC Recycled
TCO Certified
RoHS
REACH",US MIL-STD 810H military-grade standard,,LED Backlit,,,,,,,,,,,,,,,,,,,
